nome,R,RM,club,QA,QI,Delta,FVM,missing
Isaac,A,Pc,Verona,1.0,1,0,1,0
Isaksen,C,W;A,Lazio,14.0,14,0,32,0
Ismajli,D,Dc,Torino,6.0,8,-2,10,0
Israel,P,Por,Torino,2.0,9,-7,1,0
Jashari,C,C,Milan,4.0,13,-9,12,0
Jean,D,Dc,Lecce,1.0,3,-2,3,0
Joao Mario,D,E,Juventus,2.0,8,-6,5,0
Johnsen,A,A,Cremonese,6.0,7,-1,8,0
Juan Jesus,D,Ds;Dc,Napoli,4.0,3,1,22,0
Kaba,C,M;C,Lecce,3.0,1,2,12,0
Kabasele,D,Dc,Udinese,12.0,3,9,13,0
Kalulu,D,Dd;Dc,Juventus,12.0,9,3,40,0
Kamara H.,D,Ds;E,Udinese,6.0,7,-1,15,0
Karlstrom,C,M;C,Udinese,10.0,6,4,18,0
Kastanos,C,C;T,Verona,1.0,4,-3,8,0
Kean,A,Pc,Fiorentina,18.0,33,-15,159,0
Keita M.,C,M;C,Parma,8.0,6,2,14,0
Kelly L.,D,Ds;Dc,Juventus,10.0,7,3,16,0
Kempf,D,Dc,Como,14.0,5,9,10,0
Kilicsoy,A,A,Cagliari,12.0,6,6,21,0
Kolasinac,D,B;Ds;E,Atalanta,5.0,7,-2,18,0
Konè I.,C,M;C,Sassuolo,16.0,6,10,29,0
Konè M.,C,M;C,Roma,17.0,14,3,54,0
Koopmeiners,C,C;T,Juventus,5.0,14,-9,15,0
Kossounou,D,Dd;Dc,Atalanta,8.0,9,-1,10,0
Kostic,C,E;W,Juventus,11.0,4,7,15,0
Kouadio,D,Dc,Fiorentina,1.0,1,0,1,0
Kouamè,A,A,Fiorentina,1.0,1,0,1,0
Kouassi,D,Dd;Dc,Lecce,1.0,4,-3,4,0
Kovac *,,,,0.0,0,0,0,1
Kovacik *,,,,0.0,0,0,0,1
Kristensen T.,D,Dd;Dc,Udinese,7.0,5,2,12,0
Krstovic,A,Pc,Atalanta,20.0,20,0,31,0
Kuhn,A,W;A,Como,4.0,14,-10,11,0
Lamptey,D,Dd;Ds;E,Fiorentina,1.0,4,-3,5,0
Lang *,A,A,Napoli,13.0,19,-6,20,1
Laurientè,A,A,Sassuolo,19.0,15,4,39,0
Lazaro,D,Dd;E,Torino,7.0,7,0,12,0
Lazzari,D,Dd;E,Lazio,4.0,4,0,8,0
Leali,P,Por,Genoa,11.0,8,3,14,0
Leao,A,A,Milan,30.0,24,6,199,0
Leris,C,W,Pisa,12.0,2,10,10,0
Lezzerini,P,Por,Fiorentina,1.0,1,0,1,0
Lipani,C,M;C,Sassuolo,3.0,4,-1,8,0
Lirola,D,B;Dd;E,Verona,4.0,4,0,11,0
Liteta,C,M;C,Cagliari,1.0,1,0,6,0
Lobotka,C,M;C,Napoli,10.0,9,1,25,0
Locatelli,C,M;C,Juventus,13.0,12,1,41,0
Loftus-Cheek,C,C;T,Milan,13.0,8,5,16,0
Lookman,A,A,Atalanta,14.0,29,-15,80,0
